time	V(n003)	V(n004)
6.874975691328076e-003	3.580807e+000	-7.065493e-001
6.894506941328075e-003	3.127040e+000	-6.147730e-001
6.914038191328075e-003	2.626318e+000	-5.137499e-001
6.933569441328074e-003	2.086171e+000	-4.049995e-001
6.953100691328074e-003	1.514724e+000	-2.901576e-001
6.972631941328074e-003	9.205719e-001	-1.709514e-001
6.992163191328073e-003	3.126507e-001	-4.917391e-002
7.011694441328073e-003	-2.998959e-001	7.334317e-002
7.031225691328072e-003	-9.078547e-001	1.947571e-001
7.050756941328072e-003	-1.502081e+000	3.132417e-001
7.070288191328072e-003	-2.073638e+000	4.270148e-001
7.089819441328071e-003	-2.613929e+000	5.343653e-001
7.109350691328071e-003	-3.114826e+000	6.336784e-001
7.128881941328070e-003	-3.568797e+000	7.234604e-001
7.148413191328070e-003	-3.969011e+000	8.023609e-001
7.167944441328070e-003	-4.309450e+000	8.691931e-001
7.187475691328069e-003	-4.584993e+000	9.229518e-001
7.207006941328069e-003	-4.791496e+000	9.628285e-001
7.226538191328068e-003	-4.925853e+000	9.882234e-001
7.246069441328068e-003	-4.986042e+000	9.987544e-001
7.265600691328067e-003	-4.971158e+000	9.942633e-001
7.285131941328067e-003	-4.881426e+000	9.748175e-001
7.304663191328067e-003	-4.718195e+000	9.407095e-001
7.324194441328066e-003	-4.483921e+000	8.924524e-001
7.343725691328066e-003	-4.182127e+000	8.307720e-001
7.363256941328065e-003	-3.817353e+000	7.565960e-001
7.382788191328065e-003	-3.395085e+000	6.710401e-001
7.402319441328065e-003	-2.921675e+000	5.753911e-001
7.421850691328064e-003	-2.404243e+000	4.710878e-001
7.441381941328064e-003	-1.850573e+000	3.596988e-001
7.460913191328063e-003	-1.268990e+000	2.428996e-001
7.480444441328063e-003	-6.682430e-001	1.224469e-001
7.499975691328062e-003	-5.736738e-002	1.525920e-004
7.519506941328062e-003	5.544489e-001	-1.221441e-001
7.539038191328062e-003	1.158004e+000	-2.426035e-001
7.558569441328061e-003	1.744219e+000	-3.594140e-001
7.578100691328061e-003	2.304278e+000	-4.708186e-001
7.597631941328060e-003	2.829756e+000	-5.751416e-001
7.617163191328060e-003	3.312749e+000	-6.708140e-001
7.636694441328060e-003	3.745993e+000	-7.563967e-001
7.656225691328059e-003	4.122972e+000	-8.306025e-001
